acidgreen	0x8ffe09
silver	0xc5c9c7
sky	0x82cafc
skyblue	0x75bbfd
slate	0x516572
slateblue	0x5b7c99
slategreen	0x658d6d
slategrey	0x59656d
slimegreen	0x99cc04
snot	0xacbb0d
snotgreen	0x9dc100
softblue	0x6488ea
softgreen	0x6fc276
softpink	0xfdb0c0
softpurple	0xa66fb5
spearmint	0x1ef876
springgreen	0xa9f971
spruce	0x0a5f38
squash	0xf2ab15
steel	0x738595
steelblue	0x5a7d9a
steelgrey	0x6f828a
stone	0xada587
stormyblue	0x507b9c
straw	0xfcf679
strawberry	0xfb2943
strongblue	0x0c06f7
strongpink	0xff0789
sunflower	0xffc512
sunfloweryellow	0xffda03
sunnyyellow	0xfff917
sunshineyellow	0xfffd37
sunyellow	0xffdf22
swamp	0x698339
swampgreen	0x748500
tan	0xd1b26f
tanbrown	0xab7e4c
tangerine	0xff9408
tangreen	0xa9be70
taupe	0xb9a281
tea	0x65ab7c
teagreen	0xbdf8a3
teal	0x029386
tealblue	0x01889f
tealgreen	0x25a36f
tealish	0x24bca8
tealishgreen	0x0cdc73
terracota	0xcb6843
terracotta	0xc9643b
tiffanyblue	0x7bf2da
tomato	0xef4026
tomatored	0xec2d01
topaz	0x13bbaf
toupe	0xc7ac7d
toxicgreen	0x61de2a
treegreen	0x2a7e19
trueblue	0x010fcc
truegreen	0x089404
turquoise	0x06c2ac
turquoiseblue	0x06b1c4
turquoisegreen	0x04f489
turtlegreen	0x75b84f
twilight	0x4e518b
twilightblue	0x0a437a
uglyblue	0x31668a
uglybrown	0x7d7103
uglygreen	0x7a9703
uglypink	0xcd7584
uglypurple	0xa442a0
uglyyellow	0xd0c101
ultramarine	0x2000b1
ultramarineblue	0x1805db
umber	0xb26400
velvet	0x750851
vermillion	0xf4320c
verydarkblue	0x000133
verydarkbrown	0x1d0200
verydarkgreen	0x062e03
verydarkpurple	0x2a0134
verylightblue	0xd5ffff
verylightbrown	0xd3b683
verylightgreen	0xd1ffbd
verylightpink	0xfff4f2
verylightpurple	0xf6cefc
verypaleblue	0xd6fffe
verypalegreen	0xcffdbc
vibrantblue	0x0339f8
vibrantgreen	0x0add08
vibrantpurple	0xad03de
violet	0x9a0eea
violetblue	0x510ac9
violetpink	0xfb5ffc
violetred	0xa50055
viridian	0x1e9167
vividblue	0x152eff
vividgreen	0x2fef10
vividpurple	0x9900fa
vomit	0xa2a415
vomitgreen	0x89a203
vomityellow	0xc7c10c
warmblue	0x4b57db
warmbrown	0x964e02
warmgrey	0x978a84
warmpink	0xfb5581
warmpurple	0x952e8f
washedoutgreen	0xbcf5a6
waterblue	0x0e87cc
watermelon	0xfd4659
weirdgreen	0x3ae57f
wheat	0xfbdd7e
white	0xffffff
windowsblue	0x3778bf
wine	0x80013f
winered	0x7b0323
wintergreen	0x20f986
wisteria	0xa87dc2
yellow	0xffff14
yellowgreen	0xc8fd3d
yellowbrown	0xb79400
yellowish	0xfaee66
yellowishbrown	0x9b7a01
yellowishgreen	0xb0dd16
yellowishorange	0xffab0f
yellowishtan	0xfcfc81
yellowochre	0xcb9d06
yelloworange	0xfcb001
yellowtan	0xffe36e
yellowybrown	0xae8b0c
yellowygreen	0xbff128
